9,2,3,4,5,6,7,8,9
nb,nb,od,,Over Cap-E,,limiting wall,OverCap-E1,WT KG
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,21,N/A,25,N/A,4.57,25,0.2
0+3/4,20,27,N/A,25,N/A,3.81,25,0.2
1,25,33,N/A,38,N/A,4.57,38,0.2
1+1/4,32,42,N/A,38,N/A,4.83,38,0.28
1+1/2,40,48,N/A,38,N/A,5.08,38,0.36
2,50,60,N/A,38,N/A,5.59,44,0.59
2+1/2,65,73,N/A,38,N/A,7.11,51,1
3,80,89,N/A,51,N/A,7.62,64,1.78
3+1/2,90,102,N/A,64,N/A,8.13,76,2.2
4,100,114,N/A,64,N/A,8.64,76,3.17
5,125,141,N/A,76,N/A,9.65,89,5.5
6,150,168,N/A,89,N/A,10.92,102,8.1
8,200,219,N/A,102,N/A,12.7,127,19.5
10,250,273,N/A,127,N/A,12.7,152,29.3
12,300,324,N/A,152,N/A,12.7,178,41
