23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb   BS10 Table A,nb   BS10 Table A,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,95.25,12.7,6.35,4.7625,N/A,66.675,4,0+1/2,14,0.25800189,0.463361699,45,0+9/16,N/A,6945.336563,33077.16538,3.31E-05,0.25800189,,40.525,0.463361699
0+3/4,20,101.6,12.7,6.35,4.7625,N/A,73.025,4,0+1/2,14,0.289349664,0.463361699,45,0+9/16,N/A,7789.2096,37096.11072,3.71E-05,0.289349664,,40.525,0.463361699
1,25,114.3,12.7,7.9375,7.9375,N/A,87.3125,4,0+1/2,14,0.604575541,0.493844442,50,0+9/16,N/A,9764.99965,77509.68472,7.75E-05,0.604575541,,46.875,0.44
1+1/4,32,120.65,15.875,7.9375,12.7,N/A,87.3125,4,0+1/2,14,1.052309592,0.539568557,60,0+9/16,N/A,10622.95166,134911.4861,1.35E-04,1.052309592,,56.4,0.48
1+1/2,40,133.35,15.875,9.525,6.35,N/A,98.425,4,0+1/2,14,0.629181802,0.47860307,45,0+9/16,N/A,12703.04466,80664.33361,8.07E-05,0.629181802,,43.7,0.47860307
2,50,152.4,15.875,9.525,7.9375,N/A,114.3,4,0+5/8,16,1.007299139,0.720260736,55,0+11/16,N/A,16269.7216,129140.9152,0.000129141,1.007299139,,50.875,0.61
2+1/2,65,155.575,17.4625,11.1125,7.9375,N/A,127,4,0+5/8,16,0.97098524,0.720260736,55,0+11/16,N/A,15683.18579,124485.2872,1.24E-04,0.97098524,,50.875,0.61
3,80,184.15,9.525,14.2875,9.525,N/A,146.05,4,0+5/8,16,1.604497826,0.740167834,60,0+11/16,N/A,21596.30966,205704.8495,2.06E-04,1.604497826,,54.05,0.64
3+1/2,90,203.2,9.525,19.84375,9.526,N/A,165.1,4,0+5/8,16,1.935910295,0.740180374,60,0+11/16,N/A,26054.3384,248193.6276,2.48E-04,1.935910295,,54.052,0.64
4,100,215.9,19.05,9.525,9.525,N/A,177.8,4,0+5/8,16,2.135316744,0.740167834,60,0+11/16,N/A,28741.05585,273758.557,2.74E-04,2.135316744,,54.05,0.64
5,130,254,19.05,17.4625,12.7,N/A,215.9,4,0+3/4,20,3.702720154,1.45384512,70,0+11/16,N/A,37378.56,474707.712,0.000474708,3.702720154,,68.4,1.2
6,150,279.4,20.6375,17.4625,12.7,N/A,234.95,4,0+3/4,20,4.320801319,1.45384512,70,0+11/16,N/A,43618.0226,553948.887,0.000553949,4.320801319,,68.4,1.2
7,175,304.8,20.6375,19.05,12.7,N/A,260.35,8,0+3/4,20,4.842871174,2.90769024,70,0+11/16,N/A,48888.2614,620880.9198,0.000620881,4.842871174,,68.4,2.41
8,200,336.55,22.225,19.05,12.7,N/A,292.1,8,0+3/4,20,5.697310437,2.90769024,70,0+11/16,N/A,57513.73346,730424.415,7.30E-04,5.697310437,,68.4,2.41
9,225,368.3,22.225,19.05,15.875,N/A,323.85,8,0+3/4,20,8.264156485,3.0321096,80,0+11/16,N/A,66740.61365,1059507.242,1.06E-03,8.264156485,,74.75,2.58
10,250,406.4,23.8125,19.05,15.875,N/A,355.6,8,0+3/4,20,9.978914797,3.0321096,80,0+7/8,N/A,80588.8536,1279348.051,0.001279348,9.978914797,,74.75,2.58
12,300,457.2,23.8125,22.225,19.05,N/A,406.4,8,0+3/4,20,13.88424877,3.15652896,85,0+7/8,N/A,93439.9944,1780031.893,0.001780032,13.88424877,,81.1,2.66
13,325,488.95,23.8125,22.225,19.05,N/A,444.5,8,0+3/4,20,15.56569039,3.15652896,85,0+7/8,N/A,104755.9755,1995601.333,2.00E-03,15.56569039,,81.1,2.66
14,350,527.05,25.4,25.4,22.225,N/A,469.9,8,0+7/8,24,21.13130474,5.401720397,100,1,N/A,121896.1365,2709141.633,2.71E-03,21.13130474,,95.45,4.57
15,375,552.45,25.4,25.4,22.225,N/A,495.3,8,0+7/8,24,22.39610724,5.401720397,100,1,N/A,129192.162,2871295.8,2.87E-03,22.39610724,,95.45,4.57
16,400,577.85,36.5125,25.4,22.225,N/A,520.7,12,0+7/8,24,23.66639663,8.102580595,100,1,N/A,136519.8387,3034153.414,3.03E-03,23.66639663,,95.45,6.86
17,425,609.6,36.5125,26.9875,22.225,N/A,552.45,12,0+7/8,24,25.99023461,8.102580595,100,1,N/A,149924.9206,3332081.36,0.003332081,25.99023461,,95.45,6.86
18,450,641.35,36.5125,26.9875,22.225,N/A,584.2,12,0+7/8,24,28.4183297,8.102580595,100,1,N/A,163931.4107,3643375.602,3.64E-03,28.4183297,,95.45,6.86
19,475,673.1,28.575,28.575,22.225,N/A,609.6,12,0+7/8,24,30.95068189,8.102580595,100,1,N/A,178539.3089,3968036.139,3.97E-03,30.95068189,,95.45,6.86
20,500,704.85,28.575,28.575,25.4,N/A,641.35,12,0+7/8,24,38.38547564,8.371326413,105,1,N/A,193748.6152,4921214.825,4.92E-03,38.38547564,,101.8,7.04
21,525,736.6,28.575,28.575,25.4,N/A,666.75,12,0+7/8,24,41.51789438,8.371326413,105,1,N/A,209559.3296,5322806.972,0.005322807,41.51789438,,101.8,7.04
22,550,762,30.1625,30.1625,25.4,N/A,698.5,12,1,27,43.25812308,11.55911206,110,1+1/8,N/A,218343.04,5545913.216,0.005545913,43.25812308,,107.8,9.88
23,575,787.4,30.1625,30.1625,25.4,N/A,469.9,12,1,27,45.00462252,11.55911206,110,1+1/8,N/A,227158.4016,5769823.401,0.005769823,45.00462252,,107.8,9.88
24,600,825.5,30.1625,30.1625,25.4,N/A,755.65,12,1,27,49.99329297,11.55911206,110,1+1/8,N/A,252338.4463,6409396.535,0.006409397,49.99329297,,107.8,9.88
26,650,844.55,31.75,0,25.4,N/A,781.05,16,1,27,45.22094774,15.41214942,110,1+1/8,N/A,228250.2915,5797557.403,5.80E-03,45.22094774,,107.8,13.18
27,675,869.95,31.75,0,25.4,N/A,806.45,16,1,27,46.84202314,15.41214942,110,1+1/8,N/A,236432.582,6005387.582,6.01E-03,46.84202314,,107.8,13.18
29,725,927.1,31.75,0,25.4,N/A,857.25,20,1,27,51.92788338,19.26518677,110,1+1/8,N/A,262103.1869,6657420.946,0.006657421,51.92788338,,107.8,16.47
30,750,946.15,31.75,0,25.4,N/A,882.65,20,1,27,51.74287373,19.26518677,110,1+1/8,N/A,261169.3607,6633701.761,6.63E-03,51.74287373,,107.8,16.47
33,825,1028.7,31.75,0,31.75,N/A,965.2,20,1,27,73.40716773,20.39895819,125,1+1/8,N/A,296414.9717,9411175.35,9.41E-03,73.40716773,,120.5,17.62
35,875,1079.5,31.75,0,31.75,N/A,1016,24,1,27,77.702855,24.47874983,125,1+1/8,N/A,313760.7713,9961904.487,9.96E-03,77.702855,,120.5,21.14
36,900,1104.9,34.925,0,28.575,N/A,1041.4,24,1,27,71.87621064,23.79848698,120,1+1/8,N/A,322481.1479,9214898.8,9.21E-03,71.87621064,,114.15,20.68
39,975,1181.1,34.925,0,28.575,N/A,1117.6,24,1,27,77.74946152,23.79848698,120,1+1/8,N/A,348832.1849,9967879.682,9.97E-03,77.74946152,,114.15,20.68
42,1050,1257.3,34.925,0,31.75,N/A,1193.8,28,1,27,92.98467067,28.55854147,125,1+1/8,N/A,375468.0827,11921111.62,1.19E-02,92.98467067,,120.5,24.66
45,1125,1339.85,38.1,0,38.1,N/A,1276.35,28,1,27,123.542131,30.14582145,135,1+1/8,N/A,415714.8227,15838734.74,1.58E-02,123.542131,,133.2,25.76
48,1200,1416.05,38.1,0,38.1,N/A,1352.55,28,1,27,131.8528575,30.14582145,135,1+1/8,N/A,443680.118,16904212.49,1.69E-02,131.8528575,,133.2,25.76
54,1200,1606.55,44.45,0,44.45,N/A,1530.35,32,1+1/4,30,310.5437363,47.94749856,155,1+3/8,N/A,895687.2785,39813299.53,3.98E-02,310.5437363,,151.9,41.31
60,1350,1784.35,47.625,0,38.1,N/A,1701.8,32,1+1/2,39,317.5971172,93.33944306,160,1+3/8,N/A,1068702.864,40717579.12,4.07E-02,317.5971172,,157.2,82.71
66,1500,1943.1,554.0375,0,41.275,N/A,1866.9,32,1+1/4,30,385.5695493,46.82772432,150,1+3/8,N/A,1197625.524,49431993.5,4.94E-02,385.5695493,,145.55,40.54
72,1650,2108.2,60.325,0,44.45,N/A,2019.3,36,1+3/8,36,468.6741472,87.95923644,165,1+1/2,N/A,1351775.683,60086429.13,0.060086429,468.6741472,,163.9,76.71
