23,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
nb BS10 Table T,nb BS10 Table T,od,thick CI,thick Co,thick st,rf dia,pcd,no bolts,bolt siz,met bolt,wt kg,bolt wt,bolt len,hole dia,rf height,area,vol mm,vol m,wt kg,,Bolt Len,Bolt wt
0+1/2,15,139.7,N/A,N/A,25.4,63.5,101.6,4,0+3/4,20,3.000231339,1.70268384,95,0+7/8,2,15143.50565,384645.0435,0.000384645,3.000231339,,93.8,1.70268384
0+3/4,20,139.7,N/A,N/A,25.4,63.5,101.6,4,0+3/4,20,2.973014604,1.70268384,95,0+7/8,2,15006.13065,381155.7185,0.000381156,2.973014604,,93.8,1.41
1,25,146.05,N/A,N/A,28.575,76.2,107.95,4,0+3/4,20,3.622750047,1.76489352,105,0+7/8,2,16253.89796,464455.1343,4.64E-04,3.622750047,,100.15,1.5
1+1/4,32,158.75,N/A,N/A,31.75,82.55,120.65,4,0+7/8,24,4.700245082,2.969606016,120,1,2,18979.38656,602595.5234,6.03E-04,4.700245082,,114.5,2.52
1+1/2,40,171.45,N/A,N/A,34.925,88.9,133.35,8,0+3/4,20,5.943865235,3.77862576,115,0+7/8,2,21819.15546,762034.0045,7.62E-04,5.943865235,,112.85,3.16
2,50,184.15,N/A,N/A,34.925,101.6,146.05,8,0+3/4,20,6.717157219,3.77862576,115,0+7/8,2,24657.80966,861174.0025,8.61E-04,6.717157219,,112.85,3.16
2+1/2,65,203.2,N/A,N/A,34.925,114.3,165.1,8,0+7/8,24,7.926244973,6.11837591,125,1,2,29096.2134,1016185.253,0.001016185,7.926244973,,120.85,5.17
3,80,234.95,N/A,N/A,47.625,127,190.5,8,1,27,14.23090244,9.293354694,155,1+1/8,2,38309.17946,1824474.672,1.82E-03,14.23090244,,152.25,7.97
3+1/2,90,266.7,N/A,N/A,53.975,146.05,215.9,8,1+1/8,30,20.8303501,12.82670532,175,1+1/4,2,49477.67865,2670557.705,2.67E-03,20.8303501,,170.95,11.07
4,100,285.75,N/A,N/A,57.15,158.75,234.95,8,1+1/4,33,25.07351675,16.81922951,185,1+1/4,2,56247.65406,3214553.43,3.21E-03,25.07351675,,183.3,14.26
4+1/2,115,298.45,N/A,N/A,60.325,177.8,254,12,1,27,28.01575317,15.30055774,180,1+1/8,2,59540.21096,3591763.226,3.59E-03,28.01575317,,177.65,13.11
5,130,323.85,N/A,N/A,66.675,209.55,273.05,12,1+1/8,30,35.91744446,20.91971934,200,1+1/4,2,69063.37566,4604800.572,4.60E-03,35.91744446,,196.35,18
6,150,374.65,N/A,N/A,73.025,228.6,317.5,12,1+1/4,33,52.70015896,27.76933208,220,1+3/8,2,92522.15866,6756430.636,6.76E-03,52.70015896,,215.05,23.79
7,175,431.8,N/A,N/A,82.55,247.65,368.3,12,1+3/8,36,78.76294177,36.57588255,245,1+1/2,2,122323.5984,10097813.05,0.010097813,78.76294177,,240.1,32.35
8,200,476.25,N/A,N/A,88.9,298.45,406.4,12,1+1/2,39,101.6893767,46.35680194,260,1+5/8,2,146649.0391,13037099.57,1.30E-02,101.6893767,,258.8,41.06
9,225,508,N/A,N/A,95.25,330.2,444.5,16,1+3/8,36,120.981692,51.99279322,270,1+1/2,2,162839.615,15510473.33,0.015510473,120.981692,,265.5,45.95
10,250,558.8,N/A,N/A,107.95,355.6,488.95,16,1+1/2,39,165.0841357,67.48632465,300,1+5/8,2,196059.5904,21164632.78,0.021164633,165.0841357,,296.9,60.11
11,275,615.95,N/A,N/A,114.3,381,533.4,16,1+3/4,45,212.5957199,99.51001632,325,1+7/8,2,238458.981,27255861.52,2.73E-02,212.5957199,,321.6,90.84
12,300,654.05,N/A,N/A,120.65,412.75,571.5,16,1+3/4,45,249.5326164,102.0295084,340,1+7/8,2,265158.401,31991361.08,3.20E-02,249.5326164,,334.3,93.58
13,325,704.85,N/A,N/A,130.175,438.15,609.6,16,2,52,311.8013203,152.4133633,370,2+1/8,2,307082.9902,39974528.24,4.00E-02,311.8013203,,367.35,138.2
