8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,Drn Size,Screne Area CM20,Wt Kg
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,6.625,3.75,6.5,0+1/2,80,3
0+3/4,20,6.625,3.75,6.5,0+1/2,80,3.5
1,25,7.25,4.375,7.25,0+1/2,126.5,5.5
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,10.625,5.5,9,0+1/2,199,10
2,50,10.875,7,11.25,0+1/2,333,16
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A
3,80,14.125,8.625,14,0+1/2,574.5,30
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A
4,100,17.125,10.25,16.125,0+1/2,923.4,50
5,125,N/A,N/A,N/A,N/A,N/A,N/A
6,150,22,13.375,21.75,0+1/2,1894,92
8,200,25.75,17.375,27.75,0+3/4,2870,180
10,250,34.5,23.625,39.375,0+3/4,5000,340
12,300,38,25.125,41,0+3/4,6375,385
14,350,45.5,31,61,0+3/4,8985,610
