14,2,3,4,5,6,7,8,9,10,11,12,13,14
NB inch,NB mm,A - F to F,B - Height,C Base to drain,D Base to CL,E Base to Cover,F Bask Removal,Net Basket Removal,Basket Area,vent,drain,kg,Basket removal
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,8.875,13,1,7,213,200,9,241,0+1/4,0+3/4,7,Basket removal
1,25,8.875,14,1,7,225,200,10,241,0+1/4,0+3/4,13.5,Basket removal
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,9.5,17,1.5,10,297,275,13,375,0+1/4,0+3/4,19,Basket removal
2,50,12.5,19,1.5,12.5,362,340,15,488,0+1/4,0+3/4,27.5,Basket removal
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,14.375,22,1.5,13.5,411,375,17,652,0+3/8,0+3/4,46.5,Basket removal
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,17.5,27,2,17,505,450,21,1088,0+3/8,1,70,Basket removal
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,23.5,39,4,24,734,630,29,2151,0+1/2,1+1/2,167,Basket removal
8,200,28,47,4.5,31,927,800,37,3973,0+1/2,1+1/2,310,Basket removal
10,250,34,56,4.75,36,1077,940,44,5304,0+1/2,1+1/2,550,Basket removal
12,300,40,62,7,45,1367,1180,55,8295,0+1/2,2,600,Basket removal
