12,2,3,4,5,6,7,8,9,10,11,12
NB,NB,F to F,Base to CL,Basket removal,OA ht,OA wdth,drn,vt,Handle len,Basket removal,Kg
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,190,142,150,272,272,0+1/4,0+1/4,280,Basket removal,18
0+3/4,20,190,142,150,272,272,0+1/4,0+1/4,280,Basket removal,18
1,25,200,142,150,272,272,0+1/4,0+1/4,280,Basket removal,20
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,260,182,195,355,360,0+3/8,0+1/4,300,Basket removal,37
2,50,295,227,260,395,398,0+1/2,0+1/4,330,Basket removal,57
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,415,315,360,530,540,0+3/4,0+3/8,450,Basket removal,132
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,520,417,460,670,713,0+3/4,0+1/2,560,Basket removal,240
