11,2,3,4,5,6,7,8,9,10,11
NB inch,NB,len short,len long,cone dia,od,thk,wt short,wt long,Long Option,handle
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Option,3.5
0+3/4,20,1,2,0.590551181,2.44,0.125,0.2,0.2,Long Option,3.5
1,25,1.5,2,0.866141732,2.67,0.125,0.2,0.2,Long Option,3.5
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,4,5.5,1.220472441,3.46,0.125,0.2,0.2,Long Option,3.5
2,50,4.5,6,1.732283465,4.09,0.125,0.2,0.3,Long Option,3.5
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,6.5,9,2.637795276,5.59,0.125,0.4,0.4,Long Option,3.5
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,8.5,11.5,3.464566929,6.85,0.125,0.6,0.7,Long Option,3.5
5,125,10.5,14,4.606299213,8.22,0.125,0.7,0.9,Long Option,3.5
6,150,13,17,5.472440945,9.6,0.125,1.1,1.5,Long Option,3.5
8,200,17,23,7.125984252,11.85,0.125,2,2.7,Long Option,3.5
10,250,21,27,8.976377953,13.97,0.25,2.7,3.4,Long Option,3.5
12,300,25,32.5,10.86614173,16.33,0.25,3.6,4.9,Long Option,3.5
14,350,26,35,12.5984252,18.85,0.25,4.5,5.4,Long Option,3.5
16,400,29.5,39,14.48818898,20.98,0.25,5.4,7.2,Long Option,3.5
18,450,33,44,16.33858268,23.22,0.25,6.8,9.5,Long Option,3.5
20,500,37,49,18.34645669,25.47,0.25,9,11.7,Long Option,3.5
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,44,58,22.36220472,30.23,0.25,12.2,16.3,Long Option,3.5
26,650,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
28,700,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,750,60,80,28.46456693,37.12,0.25,19,25.4,Long Option,3.5
32,800,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,900,72,94,34.48818898,43.46,0.25,33.1,43.5,Long Option,3.5
