9,2,3,4,5,6,7,8,9
NB inch,NB mm,F to F,Base to CL,Removal Dist,Sched,Screne Mesh,Wt Kg,Basket removal distance
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,N/A,N/A,N/A,N/A,N/A,N/A,Basket removal distance
2,50,5,12,6.5,STD,3mm,8,Basket removal distance
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,6.75,15,8,STD,3mm,16,Basket removal distance
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,8.25,17.5,8,STD,3mm,22,Basket removal distance
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,11.25,22.5,11,STD,3mm,39,Basket removal distance
8,200,14,27.5,13,STD,3mm,68,Basket removal distance
10,250,17,31.5,14.5,STD,3mm,106,Basket removal distance
12,300,20,36.5,16.5,STD,3mm,153,Basket removal distance
14,350,22,40,18,STD,3mm,207,Basket removal distance
16,400,24,44,20,STD,3mm,266,Basket removal distance
18,450,27,47,23,STD,3mm,330,Basket removal distance
20,500,30,51,24,STD,3mm,400,Basket removal distance
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24,600,34,59,26,STD,3mm,560,Basket removal distance
