21,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Lever Height,Lever Length,Hand Wheel Spindle Height,Hand Wheel Diameter,Hand Wheel Spindle Length,Hand Wheel Spindle Offset,weight RF/RTJ,weight BW,RF-F/F Short Pattern,RTJ-F/F Sort Pattern,BW-F/F Short Pattern,RTJ Addition,RTJ Gap,Long Pattern,Short Pattern,Section - Full Bore Valve
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,165,163,165,65,150,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,-2,3,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/4,20,190,190,190,75,230,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,0,4,Long Pattern,Short Pattern,Section - Full Bore Valve
1,25,216,216,216,80,230,N/A,N/A,N/A,N/A,15,10,N/A,N/A,N/A,0,4,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/4,32,229,229,229,N/A,N/A,N/A,N/A,N/A,N/A,26,18,N/A,N/A,N/A,0,4,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/2,40,241,241,241,120,381,N/A,N/A,N/A,N/A,27,18,N/A,N/A,N/A,0,4,Long Pattern,Short Pattern,Section - Full Bore Valve
2,50,292,295,292,165,610,152,635,330,76,25,17,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
2+1/2,65,330,333,330,165,610,203,N/A,N/A,N/A,36,25,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
3,80,356,359,356,180,610,254,635,330,76,49,34,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,432,435,432,230,915,280,635,330,76,98,68,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
6,150,559,562,559,285,915,355,635,330,76,292,204,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
8,200,660,663,660,350,915,355,635,330,100,577,403,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
10,250,787,790,787,450,1525,460,635,395,133,808,565,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
12,300,838,841,838,490,1525,710,635,395,133,1339,937,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
14,350,889,892,889,460,1700,735,635,400,222,1814,1269,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
16,400,991,994,991,500,1700,765,635,400,222,1955,1368,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
18,450,1092,1095,1092,575,2000,800,635,515,240,2986,2090,N/A,N/A,N/A,3,5,Long Pattern,Short Pattern,Section - Full Bore Valve
20,500,1194,1200,1194,615,2000,840,635,515,240,3261,2282,N/A,N/A,N/A,6,5,Long Pattern,Short Pattern,Section - Full Bore Valve
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,6,Long Pattern,Short Pattern,Section - Full Bore Valve
24,600,1397,1407,1397,680,2000,865,650,515,240,N/A,N/A,N/A,N/A,N/A,10,6,Long Pattern,Short Pattern,Section - Full Bore Valve
26,650,1448,1461,1448,750,2000,900,650,550,300,N/A,N/A,N/A,N/A,N/A,13,6,Long Pattern,Short Pattern,Section - Full Bore Valve
28,700,1549,1562,1549,800,2000,950,650,600,350,N/A,N/A,N/A,N/A,N/A,13,6,Long Pattern,Short Pattern,Section - Full Bore Valve
30,750,1651,1664,1651,850,2000,1000,650,650,400,N/A,N/A,N/A,N/A,N/A,13,6,Long Pattern,Short Pattern,Section - Full Bore Valve
32,800,1778,1794,1778,900,2000,1050,650,700,450,N/A,N/A,N/A,N/A,N/A,16,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
34,850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
36,900,2083,2099,2083,1000,2000,1050,650,850,550,N/A,N/A,N/A,N/A,N/A,16,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
