13,2,3,4,5,6,7,8,9,10,11,12,13
Control Valve NB inches,Control Valve NB mm,RF Face to Face,RTJ Face to Face,Height,Diaphram Diameter,Spindle,Side HW Diameter,N/A,N/A,weight RF/RTJ,weight BW,Note1
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
0+1/2,15,190.5,N/A,584.2,250.825,N/A,N/A,N/A,N/A,6.5,3.7,In Header
0+3/4,20,193.67,206.37,660.4,279.4,N/A,N/A,N/A,N/A,7.5,5,In Header
1,25,193.67,209.55,660.4,279.4,N/A,N/A,N/A,N/A,10.9,8,In Header
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
1+1/2,40,234.95,247.65,762,333.375,N/A,N/A,N/A,N/A,26.8,23,In Header
2,50,266.7,282.57,914.4,333.375,N/A,N/A,N/A,N/A,30.8,24,In Header
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
3,80,317.5,333.37,965.2,381,N/A,N/A,N/A,N/A,63.5,52,In Header
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
4,100,368.3,384.17,1092.2,406.4,N/A,N/A,N/A,N/A,95.2,76,In Header
5,130,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,In Header
6,150,473.07,488.95,1244.6,444.5,N/A,N/A,N/A,N/A,195,160,In Header
8,200,568.32,584.2,1270,527.05,N/A,N/A,N/A,N/A,285.7,233,In Header
10,250,708.02,723.9,1295.4,635,N/A,N/A,N/A,N/A,453.5,382,In Header
12,300,806.45,812.8,1625.6,635,N/A,N/A,N/A,N/A,696.6,596,In Header
