"6.35","",""
"6","0","SB","6 mm","1/8""","Standard Bend","1"
"7","0","SB","7 mm","3/16""","Standard Bend","0.96"
"8","0","SB","8 mm","1/4""","Standard Bend","0.92"
"9","0","SB","9 mm","5/16""","Standard Bend","0.92"
"10","0","SB","10 mm","3/8""","Standard Bend","0.87"
"12","0","SB","12 mm","7/16""","Standard Bend","0.84"
"15","0","SB","15 mm","1/2""","Standard Bend","0.81"
"18","0","SB","18 mm","5/8""","Standard Bend","0.78"
"20","0","SB","20 mm","3/4""","Standard Bend","0.75"
"22","0","SB","22 mm","7/8""","Standard Bend","0.73"
"25","0","SB","25 mm","1""","Standard Bend","0.69"
"32","0","SB","32 mm","1-1/4""","Standard Bend","0.66"
"40","0","SB","40 mm","1-1/2""","Standard Bend","0.63"
"50","0","SB","50 mm","2""","Standard Bend","0.57"
"65","0","SB","65 mm","2-1/2""","Standard Bend","0.54"
"80","0","SB","80 mm","3""","Standard Bend","0.53"
"90","0","SB","90 mm","3-1/2""","Standard Bend","0.52"
"100","0","SB","100 mm","4""","Standard Bend","0.51"
"125","0","SB","125 mm","5""","Standard Bend","0.49"
"150","0","SB","150 mm","6""","Standard Bend","0.45"
"200","0","SB","200 mm","8""","Standard Bend","0.42"
"250","0","SB","250 mm","10""","Standard Bend","0.42"
"300","0","SB","300 mm","12""","Standard Bend","0.39"
"350","0","SB","350 mm","14""","Standard Bend","0.39"
"380","0","SB","380 mm","15""","Standard Bend","0.39"
"400","0","SB","400 mm","16""","Standard Bend","0.39"
"450","0","SB","450 mm","18""","Standard Bend","0.36"
"500","0","SB","500 mm","20""","Standard Bend","0.36"
"550","0","SB","550 mm","22""","Standard Bend","0.36"
"600","0","SB","600 mm","24""","Standard Bend","0.36"
"650","0","SB","650 mm","26""","Standard Bend","0.36"
"700","0","SB","700 mm","28""","Standard Bend","0.36"
"750","0","SB","750 mm","30""","Standard Bend","0.36"
"800","0","SB","800 mm","32""","Standard Bend","0.36"
"850","0","SB","850 mm","34""","Standard Bend","0.36"
"900","0","SB","900 mm","36""","Standard Bend","0.36"
"950","0","SB","950 mm","38""","Standard Bend","0.36"
"1000","0","SB","1000 mm","40""","Standard Bend","0.36"
"1050","0","SB","1050 mm","42""","Standard Bend","0.36"
"1200","0","SB","1200 mm","48""","Standard Bend","0.36"
"1400","0","SB","1400 mm","54""","Standard Bend","0.36"
"1500","0","SB","1500 mm","60""","Standard Bend","0.36"
"1800","0","SB","1800 mm","72""","Standard Bend","0.36"
"2100","0","SB","2100 mm","84""","Standard Bend","0.36"
"6","1","LB","6 mm","1/8""","Long Bend","0.59"
"7","1","LB","7 mm","3/16""","Long Bend","0.55"
"8","1","LB","8 mm","1/4""","Long Bend","0.49"
"9","1","LB","9 mm","5/16""","Long Bend","0.49"
"10","1","LB","10 mm","3/8""","Long Bend","0.46"
"12","1","LB","12 mm","7/16""","Long Bend","0.44"
"15","1","LB","15 mm","1/2""","Long Bend","0.43"
"18","1","LB","18 mm","5/8""","Long Bend","0.42"
"20","1","LB","20 mm","3/4""","Long Bend","0.4"
"22","1","LB","22 mm","7/8""","Long Bend","0.39"
"25","1","LB","25 mm","1""","Long Bend","0.37"
"32","1","LB","32 mm","1-1/4""","Long Bend","0.35"
"40","1","LB","40 mm","1-1/2""","Long Bend","0.34"
"50","1","LB","50 mm","2""","Long Bend","0.3"
"65","1","LB","65 mm","2-1/2""","Long Bend","0.29"
"80","1","LB","80 mm","3""","Long Bend","0.28"
"90","1","LB","90 mm","3-1/2""","Long Bend","0.28"
"100","1","LB","100 mm","4""","Long Bend","0.27"
"125","1","LB","125 mm","5""","Long Bend","0.26"
"150","1","LB","150 mm","6""","Long Bend","0.24"
"200","1","LB","200 mm","8""","Long Bend","0.22"
"250","1","LB","250 mm","10""","Long Bend","0.22"
"300","1","LB","300 mm","12""","Long Bend","0.21"
"350","1","LB","350 mm","14""","Long Bend","0.21"
"380","1","LB","380 mm","15""","Long Bend","0.21"
"400","1","LB","400 mm","16""","Long Bend","0.21"
"450","1","LB","450 mm","18""","Long Bend","0.19"
"500","1","LB","500 mm","20""","Long Bend","0.19"
"550","1","LB","550 mm","22""","Long Bend","0.19"
"600","1","LB","600 mm","24""","Long Bend","0.19"
"650","1","LB","650 mm","26""","Long Bend","0.19"
"700","1","LB","700 mm","28""","Long Bend","0.19"
"750","1","LB","750 mm","30""","Long Bend","0.19"
"800","1","LB","800 mm","32""","Long Bend","0.19"
"850","1","LB","850 mm","34""","Long Bend","0.19"
"900","1","LB","900 mm","36""","Long Bend","0.19"
"950","1","LB","950 mm","38""","Long Bend","0.19"
"1000","1","LB","1000 mm","40""","Long Bend","0.19"
"1050","1","LB","1050 mm","42""","Long Bend","0.19"
"1200","1","LB","1200 mm","48""","Long Bend","0.19"
"1400","1","LB","1400 mm","54""","Long Bend","0.19"
"1500","1","LB","1500 mm","60""","Long Bend","0.19"
"1800","1","LB","1800 mm","72""","Long Bend","0.19"
"2100","1","LB","2100 mm","84""","Long Bend","0.19"
"6","2","PB","6 mm","1/8""","Pipe Bend","0.4"
"7","2","PB","7 mm","3/16""","Pipe Bend","0.38"
"8","2","PB","8 mm","1/4""","Pipe Bend","0.36"
"9","2","PB","9 mm","5/16""","Pipe Bend","0.36"
"10","2","PB","10 mm","3/8""","Pipe Bend","0.34"
"12","2","PB","12 mm","7/16""","Pipe Bend","0.33"
"15","2","PB","15 mm","1/2""","Pipe Bend","0.32"
"18","2","PB","18 mm","5/8""","Pipe Bend","0.31"
"20","2","PB","20 mm","3/4""","Pipe Bend","0.3"
"22","2","PB","22 mm","7/8""","Pipe Bend","0.29"
"25","2","PB","25 mm","1""","Pipe Bend","0.28"
"32","2","PB","32 mm","1-1/4""","Pipe Bend","0.26"
"40","2","PB","40 mm","1-1/2""","Pipe Bend","0.25"
"50","2","PB","50 mm","2""","Pipe Bend","0.23"
"65","2","PB","65 mm","2-1/2""","Pipe Bend","0.22"
"80","2","PB","80 mm","3""","Pipe Bend","0.21"
"90","2","PB","90 mm","3-1/2""","Pipe Bend","0.21"
"100","2","PB","100 mm","4""","Pipe Bend","0.2"
"125","2","PB","125 mm","5""","Pipe Bend","0.19"
"150","2","PB","150 mm","6""","Pipe Bend","0.18"
"200","2","PB","200 mm","8""","Pipe Bend","0.17"
"250","2","PB","250 mm","10""","Pipe Bend","0.16"
"300","2","PB","300 mm","12""","Pipe Bend","0.16"
"350","2","PB","350 mm","14""","Pipe Bend","0.16"
"380","2","PB","380 mm","15""","Pipe Bend","0.16"
"400","2","PB","400 mm","16""","Pipe Bend","0.16"
"450","2","PB","450 mm","18""","Pipe Bend","0.17"
"500","2","PB","500 mm","20""","Pipe Bend","0.17"
"550","2","PB","550 mm","22""","Pipe Bend","0.17"
"600","2","PB","600 mm","24""","Pipe Bend","0.17"
"650","2","PB","650 mm","26""","Pipe Bend","0.17"
"700","2","PB","700 mm","28""","Pipe Bend","0.17"
"750","2","PB","750 mm","30""","Pipe Bend","0.17"
"800","2","PB","800 mm","32""","Pipe Bend","0.17"
"850","2","PB","850 mm","34""","Pipe Bend","0.17"
"900","2","PB","900 mm","36""","Pipe Bend","0.17"
"950","2","PB","950 mm","38""","Pipe Bend","0.17"
"1000","2","PB","1000 mm","40""","Pipe Bend","0.17"
"1050","2","PB","1050 mm","42""","Pipe Bend","0.17"
"1200","2","PB","1200 mm","48""","Pipe Bend","0.17"
"1400","2","PB","1400 mm","54""","Pipe Bend","0.17"
"1500","2","PB","1500 mm","60""","Pipe Bend","0.17"
"1800","2","PB","1800 mm","72""","Pipe Bend","0.17"
"2100","2","PB","2100 mm","84""","Pipe Bend","0.17"
"6","3","E45","6 mm","1/8""","Elbow 45 deg.","0.55"
"7","3","E45","7 mm","3/16""","Elbow 45 deg.","0.52"
"8","3","E45","8 mm","1/4""","Elbow 45 deg.","0.49"
"9","3","E45","9 mm","5/16""","Elbow 45 deg.","0.49"
"10","3","E45","10 mm","3/8""","Elbow 45 deg.","0.46"
"12","3","E45","12 mm","7/16""","Elbow 45 deg.","0.45"
"15","3","E45","15 mm","1/2""","Elbow 45 deg.","0.43"
"18","3","E45","18 mm","5/8""","Elbow 45 deg.","0.42"
"20","3","E45","20 mm","3/4""","Elbow 45 deg.","0.4"
"22","3","E45","22 mm","7/8""","Elbow 45 deg.","0.39"
"25","3","E45","25 mm","1""","Elbow 45 deg.","0.37"
"32","3","E45","32 mm","1-1/4""","Elbow 45 deg.","0.35"
"40","3","E45","40 mm","1-1/2""","Elbow 45 deg.","0.34"
"50","3","E45","50 mm","2""","Elbow 45 deg.","0.3"
"65","3","E45","65 mm","2-1/2""","Elbow 45 deg.","0.29"
"80","3","E45","80 mm","3""","Elbow 45 deg.","0.28"
"90","3","E45","90 mm","3-1/2""","Elbow 45 deg.","0.28"
"100","3","E45","100 mm","4""","Elbow 45 deg.","0.27"
"125","3","E45","125 mm","5""","Elbow 45 deg.","0.25"
"150","3","E45","150 mm","6""","Elbow 45 deg.","0.24"
"200","3","E45","200 mm","8""","Elbow 45 deg.","0.22"
"250","3","E45","250 mm","10""","Elbow 45 deg.","0.22"
"300","3","E45","300 mm","12""","Elbow 45 deg.","0.21"
"350","3","E45","350 mm","14""","Elbow 45 deg.","0.21"
"380","3","E45","380 mm","15""","Elbow 45 deg.","0.21"
"400","3","E45","400 mm","16""","Elbow 45 deg.","0.21"
"450","3","E45","450 mm","18""","Elbow 45 deg.","0.19"
"500","3","E45","500 mm","20""","Elbow 45 deg.","0.19"
"550","3","E45","550 mm","22""","Elbow 45 deg.","0.19"
"600","3","E45","600 mm","24""","Elbow 45 deg.","0.19"
"650","3","E45","650 mm","26""","Elbow 45 deg.","0.19"
"700","3","E45","700 mm","28""","Elbow 45 deg.","0.19"
"750","3","E45","750 mm","30""","Elbow 45 deg.","0.19"
"800","3","E45","800 mm","32""","Elbow 45 deg.","0.19"
"850","3","E45","850 mm","34""","Elbow 45 deg.","0.19"
"900","3","E45","900 mm","36""","Elbow 45 deg.","0.19"
"950","3","E45","950 mm","38""","Elbow 45 deg.","0.19"
"1000","3","E45","1000 mm","40""","Elbow 45 deg.","0.19"
"1050","3","E45","1050 mm","42""","Elbow 45 deg.","0.19"
"1200","3","E45","1200 mm","48""","Elbow 45 deg.","0.19"
"1400","3","E45","1400 mm","54""","Elbow 45 deg.","0.19"
"1500","3","E45","1500 mm","60""","Elbow 45 deg.","0.19"
"1800","3","E45","1800 mm","72""","Elbow 45 deg.","0.19"
"2100","3","E45","2100 mm","84""","Elbow 45 deg.","0.19"
"6","4","RB","6 mm","1/8""","Return Bend","1.7"
"7","4","RB","7 mm","3/16""","Return Bend","1.65"
"8","4","RB","8 mm","1/4""","Return Bend","1.59"
"9","4","RB","9 mm","5/16""","Return Bend","1.59"
"10","4","RB","10 mm","3/8""","Return Bend","1.45"
"12","4","RB","12 mm","7/16""","Return Bend","1.4"
"15","4","RB","15 mm","1/2""","Return Bend","1.35"
"18","4","RB","18 mm","5/8""","Return Bend","1.3"
"20","4","RB","20 mm","3/4""","Return Bend","1.25"
"22","4","RB","22 mm","7/8""","Return Bend","1.2"
"25","4","RB","25 mm","1""","Return Bend","1.15"
"32","4","RB","32 mm","1-1/4""","Return Bend","1.1"
"40","4","RB","40 mm","1-1/2""","Return Bend","1.05"
"50","4","RB","50 mm","2""","Return Bend","0.95"
"65","4","RB","65 mm","2-1/2""","Return Bend","0.9"
"80","4","RB","80 mm","3""","Return Bend","0.89"
"90","4","RB","90 mm","3-1/2""","Return Bend","0.86"
"100","4","RB","100 mm","4""","Return Bend","0.85"
"125","4","RB","125 mm","5""","Return Bend","0.81"
"150","4","RB","150 mm","6""","Return Bend","0.75"
"200","4","RB","200 mm","8""","Return Bend","0.7"
"250","4","RB","250 mm","10""","Return Bend","0.7"
"300","4","RB","300 mm","12""","Return Bend","0.65"
"350","4","RB","350 mm","14""","Return Bend","0.65"
"380","4","RB","380 mm","15""","Return Bend","0.65"
"400","4","RB","400 mm","16""","Return Bend","0.65"
"450","4","RB","450 mm","18""","Return Bend","0.6"
"500","4","RB","500 mm","20""","Return Bend","0.6"
"550","4","RB","550 mm","22""","Return Bend","0.6"
"600","4","RB","600 mm","24""","Return Bend","0.6"
"650","4","RB","650 mm","26""","Return Bend","0.6"
"700","4","RB","700 mm","28""","Return Bend","0.6"
"750","4","RB","750 mm","30""","Return Bend","0.6"
"800","4","RB","800 mm","32""","Return Bend","0.6"
"850","4","RB","850 mm","34""","Return Bend","0.6"
"900","4","RB","900 mm","36""","Return Bend","0.6"
"950","4","RB","950 mm","38""","Return Bend","0.6"
"1000","4","RB","1000 mm","40""","Return Bend","0.6"
"1050","4","RB","1050 mm","42""","Return Bend","0.6"
"1200","4","RB","1200 mm","48""","Return Bend","0.6"
"1400","4","RB","1400 mm","54""","Return Bend","0.6"
"1500","4","RB","1500 mm","60""","Return Bend","0.6"
"1800","4","RB","1800 mm","72""","Return Bend","0.6"
