"1.03","",""
"Air","N/A","273.150","0.000","1.292","0.017","1.402736","1"
"Air","N/A","288.150","0.000","1.225","0.018","1.402163","1"
"Air","N/A","288.706","0.000","1.222","0.018","1.402141","1"
"Air","N/A","293.150","0.000","1.204","0.018","1.401968","1"
"Ammonia","N H3","273.150","0.000","0.760","0.009","1.327243","1"
"Ammonia","N H3","288.150","0.000","0.720","0.010","1.320311","1"
"Ammonia","N H3","288.706","0.000","0.719","0.010","1.320066","1"
"Ammonia","N H3","293.150","0.000","0.708","0.010","1.318101","1"
"Argon","Ar","273.150","0.000","1.782","0.021","1.670229","1"
"Argon","Ar","288.150","0.000","1.690","0.022","1.669817","1"
"Argon","Ar","288.706","0.000","1.686","0.022","1.669803","1"
"Argon","Ar","293.150","0.000","1.661","0.022","1.669690","1"
"Butane","C4 H10","273.150","0.000","2.593","0.007","1.118825","1"
"Butane","C4 H10","288.150","0.000","2.458","0.007","1.110243","1"
"Butane","C4 H10","288.706","0.000","2.453","0.007","1.109952","1"
"Butane","C4 H10","293.150","0.000","2.416","0.007","1.107632","1"
"Butene","C4 H8","273.150","0.000","2.503","0.007","1.138955","1"
"Butene","C4 H8","288.150","0.000","2.373","0.008","1.128478","1"
"Butene","C4 H8","288.706","0.000","2.368","0.008","1.128130","1"
"Butene","C4 H8","293.150","0.000","2.332","0.008","1.125339","1"
"Carbon Dioxide","C O2","273.150","0.000","1.964","0.014","1.308272","1"
"Carbon Dioxide","C O2","288.150","0.000","1.861","0.014","1.299530","1"
"Carbon Dioxide","C O2","288.706","0.000","1.858","0.014","1.299221","1"
"Carbon Dioxide","C O2","293.150","0.000","1.830","0.015","1.296745","1"
"Carbon Monoxide","C O","273.150","0.000","1.250","0.017","1.402054","1"
"Carbon Monoxide","C O","288.150","0.000","1.185","0.017","1.401593","1"
"Carbon Monoxide","C O","288.706","0.000","1.182","0.017","1.401576","1"
"Carbon Monoxide","C O","293.150","0.000","1.164","0.017","1.401438","1"
"Dimethylether","C2 H6 O","273.150","0.000","2.055","0.008","1.174609","1"
"Dimethylether","C2 H6 O","288.150","0.000","1.948","0.009","1.164071","1"
"Dimethylether","C2 H6 O","288.706","0.000","1.945","0.009","1.163716","1"
"Dimethylether","C2 H6 O","293.150","0.000","1.915","0.009","1.160882","1"
"Ethane","C2 H6","273.150","0.000","1.342","0.009","1.209294","1"
"Ethane","C2 H6","288.150","0.000","1.272","0.009","1.199877","1"
"Ethane","C2 H6","288.706","0.000","1.269","0.009","1.199539","1"
"Ethane","C2 H6","293.150","0.000","1.250","0.009","1.196835","1"
"Ethylene","C2 H4","273.150","0.000","1.252","0.009","1.265089","1"
"Ethylene","C2 H4","288.150","0.000","1.186","0.010","1.253535","1"
"Ethylene","C2 H4","288.706","0.000","1.184","0.010","1.253117","1"
