"1.03","",""
"Acetic acid","C2 H4 O2","293.150","0.000","1049.000","1.127","1.584000","0"
"Acetone","C3 H6 O","293.150","0.000","780.000","0.325","24.220000","0"
"tert Amyl Alcohol","C5 H12 O","293.150","0.000","810.173","4.805","1.700000","0"
"Aniline","C6 H7 N","293.150","0.000","1022.000","4.565","0.400000","0"
"Benzene","C6 H6","293.150","0.000","879.000","0.654","10.100000","0"
"Benzyl alcohol","C7 H8 O","293.150","0.000","1043.956","6.529","0.008000","0"
"Bromine","Br","293.150","0.000","3100.000","0.997","23.330000","0"
"Butanoic acid","C4 H8 O2","293.150","0.000","957.878","1.554","0.670000","0"
"Butyl acetate","C6 H12 O2","293.150","0.000","881.366","0.737","1.840000","0"
"Butyl alcohol (1-butanol)","C4 H10 O","293.150","0.000","811.036","2.971","0.620000","0"
"Butylbenzene","C10 H14","293.150","0.000","859.973","1.025","1.370000","0"
"sec-Butyl alcohol (2-butanol)","C4 H10 O","293.150","0.000","800.261","3.869","1.606000","0"
"Carbon disulphide","C S2","293.150","0.000","1293.000","0.366","14.000000","0"
"Carbon tetrachloride","C Cl4","293.150","0.000","1632.000","0.979","12.000000","0"
"Castor oil","N/A","288.15","0","970","873","0","0"
"Chloroform","C H Cl3","293.150","0.000","1490.000","0.567","21.198000","0"
"Coconut oil","N/A","293.15","0","911","80","0","0"
"Corn oil","N/A","293.150","0.000","922.000","71.400","0.000100","0"
"Cottonseed oil","N/A","293.15","0","930","60","0.689","0"
"Cyclohexane","C6 H12","293.150","0.000","778.630","0.962","10.526000","0"
"Decane ","C10 H22","293.150","0.000","730.410","0.913","0.170000","0"
"Dodecane","C12 H26","293.150","0.000","749.440","1.489","0.040000","0"
"Ether  diethyl","C4 H10 O","293.150","0.000","714.000","0.242","55.075000","0"
"Ethyl alcohol (Ethanol)","C2 H6 O","293.150","0.000","789.000","1.190","7.900000","0"
"Gasoline (typical)","N/A","293.150","0.000","719.000","0.292","55.100000","0"
"Glycerol","C3 H8 O2","293.150","0.000","1262.000","1495.000","0.000000","0"
"Heptane","C7 H16","293.150","0.000","683.820","0.411","5.553000","0"
"Hexane","C6 H14","293.150","0.000","659.360","0.312","23.998000","0"
"Isohexane","C6 H14","293.150","0.000","653.180","0.286","41.350000","0"
"Isopentane","C5 H12","293.150","0.000","620.060","0.228","79.327000","0"
"Linseed oil","N/A","293.150","0.000","925.000","43.500","0.000000","0"
"Mercury","Hg","293.150","0.000","13546.000","1.559","0.000011","0"
"Methyl alcohol (Methanol)","C H4 O","293.150","0.000","791.000","0.594","12.930000","0"
"Nitrobenzene","C6 H5 N O2","293.150","0.000","1175.000","2.052","0.020000","0"
"Nonane","C9 H20","293.150","0.000","718.030","0.698","0.444000","0"
"Octane","C8 H18","293.150","0.000","702.290","0.542","1.333000","0"
"Olive oil","N/A","293.150","0.000","920.000","83.676","0.000000","0"
"Pentane","C5 H12","293.150","0.000","625.750","0.228","56.795000","0"
"Phenol","C6 H6 O","293.150","0.000","1073.000","12.740","0.029000","0"
"SAE 10W engine oil","N/A","313.15","0","877","34.2","0.1","0"
"SAE 10W-30 engine oil","N/A","313.15","0","869","67.8","0.1","0"
"SAE 15W-30 engine oil","N/A","313.15","0","873","96","0.1","0"
"SAE 30 engine oil","N/A","313.15","0","888","90.6","0.1","0"
"SAE 40 engine oil","N/A","313.15","0","890","121.9","0.1","0"
"SAE 50 engine oil","N/A","313.15","0","894","181.5","0.1","0"
"SAE 5W-40 synthetic oil","N/A","313.15","0","868","83.8","0.1","0"
"SAE 15W-40 multigrade oil","N/A","313.15","0","881","110.1","0.1","0"
"Sunflower oil","N/A","293.150","0.000","920.000","64.073","0.000000","0"
"Tetrabromoethane","C2H2 Br4","290","0","2964","12.328","0.01","0"
"Toluene (Methylbenzene)","C7 H8","293.150","0.000","867.000","0.585","2.914000","0"
"Turpentine","N/A","293.150","0.000","870.000","1.490","0.250000","0"
"Water","H2 O","273.150","0.000","1000.000","1.792","0.611000","0"
"Water","H2 O","278.150","0.000","1000.000","1.518","0.873000","0"
"Water","H2 O","283.150","0.000","1000.000","1.306","1.228000","0"
"Water","H2 O","288.150","0.000","999.000","1.138","1.706000","0"
"Water","H2 O","293.150","0.000","998.000","1.002","2.339000","0"
"Water","H2 O","298.150","0.000","997.000","0.890","3.170000","0"
"Water","H2 O","303.150","0.000","996.000","0.797","4.247000","0"
"Water","H2 O","308.150","0.000","994.000","0.719","5.629000","0"
"Water","H2 O","313.150","0.000","992.000","0.653","7.384000","0"
"Water","H2 O","318.150","0.000","990.000","0.596","9.594000","0"
"Water","H2 O","323.150","0.000","988.000","0.547","12.351000","0"
