"1.05","PVC_IPS_SDR21.pfpi",""
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","20","20 mm","3/4""","0.060000000","1.050000000","0.121000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","25","25 mm","1""","0.063000000","1.315000000","0.161000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","32","32 mm","1-1/4""","0.079000000","1.660000000","0.255000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","40","40 mm","1-1/2""","0.090000000","1.900000000","0.333000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","50","50 mm","2""","0.113000000","2.375000000","0.523000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","65","65 mm","2-1/2""","0.137000000","2.875000000","0.767000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","80","80 mm","3""","0.167000000","3.500000000","1.138000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","100","100 mm","4""","0.214000000","4.500000000","1.876000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","150","150 mm","6""","0.316000000","6.625000000","4.077000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","200","200 mm","8""","0.410000000","8.625000000","6.889000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","250","250 mm","10""","0.511000000","10.750000000","10.701000000"
"PVC (Iron pipe size)","SDR 21 (200 psi)","0.000197000","300","300 mm","12""","0.606000000","12.750000000","15.051000000"
