"1.05","PVC_IPS_SDR32_5.pfpi",""
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","32","32 mm","1-1/4""","0.060000000","1.660000000","0.192000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","40","40 mm","1-1/2""","0.060000000","1.900000000","0.231000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","50","50 mm","2""","0.073000000","2.375000000","0.344000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","65","65 mm","2-1/2""","0.088000000","2.875000000","0.502000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","80","80 mm","3""","0.108000000","3.500000000","0.749000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","100","100 mm","4""","0.138000000","4.500000000","1.231000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","125","125 mm","5""","0.171000000","5.563000000","1.903000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","150","150 mm","6""","0.204000000","6.625000000","2.679000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","200","200 mm","8""","0.265000000","8.625000000","4.531000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","250","250 mm","10""","0.331000000","10.750000000","7.053000000"
"PVC (Iron pipe size)","SDR 32.5 (125 psi)","0.000197000","300","300 mm","12""","0.392000000","12.750000000","9.908000000"
