"1.05","Steel_Stainless_Ansi_Sch40S.pfpi",""
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","6","6 mm","1/8""","0.068000000","0.405000000","0.240000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","8","8 mm","1/4""","0.088000000","0.540000000","0.420000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","10","10 mm","3/8""","0.091000000","0.675000000","0.573000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","15","15 mm","1/2""","0.109000000","0.840000000","0.860000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","20","20 mm","3/4""","0.113000000","1.050000000","1.143000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","25","25 mm","1""","0.133000000","1.315000000","1.698000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","32","32 mm","1-1/4""","0.140000000","1.660000000","2.298000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","40","40 mm","1-1/2""","0.145000000","1.900000000","2.748000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","50","50 mm","2""","0.154000000","2.375000000","3.693000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","65","65 mm","2-1/2""","0.203000000","2.875000000","5.857000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","80","80 mm","3""","0.216000000","3.500000000","7.660000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","90","90 mm","3-1/2""","0.226000000","4.000000000","9.110000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","100","100 mm","4""","0.237000000","4.500000000","10.910000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","125","125 mm","5""","0.258000000","5.563000000","14.780000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","150","150 mm","6""","0.280000000","6.625000000","19.185000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","200","200 mm","8""","0.322000000","8.625000000","28.870000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","250","250 mm","10""","0.365000000","10.750000000","40.932000000"
"Stainless Steel (ANSI)","Sch.  40S","0.001811000","300","300 mm","12""","0.375000000","12.750000000","50.112000000"
