Filename,Title,Usecase,Status
12_volt___amps__amps_vs__wire_gauge__choosing_the_.md,12 Volt - Amps  Amps vs. Wire Gauge: Choosing the Right Wire Size,datatable,done
12_volt___electric_automotive_wiring.md,12 Volt - Electric Automotive Wiring,calculator-table,done
12_volt___maximum_wire_length_vs__current.md,12 Volt - Maximum Wire Length vs. Current,calculator-table,done
1st_law_of_thermodynamics.md,1st Law of Thermodynamics,none,pending
2d_schematic_drawings.md,2D Schematic Drawings,none,pending
2nd_law_of_thermodynamics.md,2nd Law of Thermodynamics,calculator,done
absolute_or_dynamic_viscosity_online_converter.md,Absolute or Dynamic Viscosity Online Converter,calculator-table,done
absorbed_solar_radiation.md,Absorbed Solar Radiation,chart-table,done
ac___active__reactive_and_apparent_power.md,"AC - Active, Reactive and Apparent Power",calculator-chart,done
ac_circuits___power_vs__voltage_and_current.md,AC Circuits - Power vs. Voltage and Current,calculator-chart,done
acceleration.md,Acceleration,calculator,done
acceleration_of_gravity_and_newton_s_second_law.md,Acceleration of Gravity and Newton's Second Law,calculator,done
acceleration_of_gravity_vs__latitude_and_elevation.md,Acceleration of Gravity vs. Latitude and Elevation,chart,done
acceleration_units_converter.md,Acceleration Units Converter,calculator,done
acceleration_vs__velocity_equations.md,Acceleration vs. Velocity Equations,calculator,done
accounting_rate_of_return.md,Accounting Rate of Return,calculator,done
acetone___density_and_specific_weight.md,Acetone - Density and Specific Weight,calculator-table,done
acetone___thermophysical_properties.md,Acetone - Thermophysical Properties,calculator-table,done
acetylene___thermophysical_properties.md,Acetylene - Thermophysical Properties,datatable,done
aci___american_concrete_institute.md,ACI - American Concrete Institute,none,pending
acid_and_base_ph_indicators.md,Acid and Base pH Indicators,chart-table,done
acids___ph_values.md,Acids - pH Values,datatable,done
acoustic_impedance.md,Acoustic Impedance,calculator,done
addition_and_subtraction_of_fractions.md,Addition and Subtraction of Fractions,calculator-table,done
adiabatic_flame_temperatures.md,Adiabatic Flame Temperatures,chart-table,done
affinity_laws_for_pumps__principles__formulas___ca.md,"Affinity Laws for Pumps: Principles, Formulas & Calculator",calculator,done
age_and_physical_growth___weight_and_height.md,Age and Physical Growth - Weight and Height,chart,done
air___absolute_humidity.md,Air - Absolute Humidity,calculator,done
air___composition_and_molecular_weight.md,Air - Composition and Molecular Weight,calculator,done
air___density_and_specific_volume_vs__altitude.md,Air - Density and Specific Volume vs. Altitude,chart-table,done
air___diffusion_coefficients_of_gases_in_excess_of.md,Air - Diffusion Coefficients of Gases in Excess of Air,calculator-chart,done
air___drying_force.md,Air - Drying Force,chart-table,done
air___heating__cooling__mixing__humidifying_or_deh.md,"Air - Heating, Cooling, Mixing, Humidifying or Dehumidifying Processes",datatable,done
air___humidifying_by_adding_steam_or_water.md,Air - Humidifying by Adding Steam or Water,chart-table,done
air___humidifying_with_steam___imperial_units.md,Air - Humidifying with Steam - Imperial Units,datatable,done
air___humidifying_with_steam__si_units.md,"Air - Humidifying with Steam, SI units",calculator-chart,done
air___humidity_measurement_from_dry_and_wet_bulb_t.md,Air - Humidity Measurement from Dry and Wet Bulb Temperature,chart-table,done
air___humidity_ratio.md,Air - Humidity Ratio,datatable,done
air___maximum_moisture_carrying_capacity.md,Air - Maximum Moisture Carrying Capacity,chart-table,done
air___moisture_holding_capacity_vs__temperature.md,Air - Moisture Holding Capacity vs. Temperature,calculator,done
air___molecular_weight_and_composition.md,Air - Molecular Weight and Composition,datatable,done
air___prandtl_number.md,Air - Prandtl Number,none,pending
air___properties_at_gas_liquid_equilibrium_conditi.md,Air - Properties at Gas-Liquid Equilibrium Conditions,datatable,done
air___psychrometric_chart_for_standard_atmospheric.md,Air - Psychrometric Chart for Standard Atmospheric Conditions - Imperial Units,datatable,done
air___scfm_versus_acfm_and_icfm.md,Air - SCFM versus ACFM and ICFM,datatable,done
air___specific_heat_ratio.md,Air - Specific Heat Ratio,chart-table,done
air___specific_heat_vs__pressure_at_constant_tempe.md,Air - Specific Heat vs. Pressure at Constant Temperature,datatable,done
air___speed_of_sound_vs__temperature.md,Air - Speed of Sound vs. Temperature,chart,done
air___thermal_diffusivity_vs__temperature_and_pres.md,Air - Thermal Diffusivity vs. Temperature and Pressure,datatable,done
air___volume_vs__temperature.md,Air - Volume vs. Temperature,datatable,done
air_and_steam_mixtures.md,Air and Steam Mixtures,datatable,done
air_compressor___power_cost_per_year.md,Air Compressor - Power Cost per Year,datatable,done
air_compressors___maximum_air_flow_vs__inlet_pipe_.md,Air Compressors - Maximum Air Flow vs. Inlet Pipe Size,datatable,done
air_conditioning_systems.md,Air Conditioning Systems,datatable,done
air_contaminants___exposure_limits.md,Air Contaminants - Exposure Limits,calculator,done
air_density__specific_weight__and_thermal_expansio.md,"Air Density, Specific Weight, and Thermal Expansion Coefficients at Varying Temperatures and Pressures",datatable,done
air_duct_components___minor_dynamic_loss_coefficie.md,Air Duct Components - Minor Dynamic Loss Coefficients,chart-table,done
air_ducts___sizing.md,Air Ducts - Sizing,datatable,done
air_properties___density__viscosity__heat_capacity.md,"Air Properties - Density, Viscosity, Heat Capacity, Thermal Conductivity, and more",calculator-chart,done
air_properties___imperial_units.md,Air Properties - Imperial Units,calculator-table,done
air_properties___si_units.md,Air Properties - SI Units,datatable,done
air_properties___thermal_conductivity_vs__temperat.md,Air Properties - Thermal Conductivity vs. Temperature and Pressure Charts and Calculator,calculator-table,done
